NEIGHBORHOOD,TOTAL_PERMITS,AVG_PROCESSING_DAYS
Financial District/South Beach,134926,27.3
Sunset/Parkside,79130,25.9
Mission,78493,42.4
West of Twin Peaks,66050,26.9
Marina,53936,33.3
Outer Richmond,50966,34.1
Pacific Heights,50492,30.2
Castro/Upper Market,50447,35.9
Noe Valley,48758,39.2
Inner Sunset,37726,31.8
South of Market,37285,43.9
Bernal Heights,36776,38.8
Haight Ashbury,35191,31.7
Bayview Hunters Point,34681,79.4
Russian Hill,33779,37.1
Nob Hill,33052,34.0
Inner Richmond,28682,34.7
Hayes Valley,27100,38.8
Chinatown,25896,38.2
Excelsior,25312,33.5
